Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,15,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,15,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,15,<15,,1872,0,,,,,,,,,,
2020-07-06T15:56:00.557Z,15,<15,,1886,0,,,,,,,,,,
2020-07-07T05:00:26.417Z,15,<15,,1895,0,,,,,,,,,,
2020-07-07T07:17:42.693Z,15,<15,,1896,0,,,,,,,,,,
2020-07-07T15:43:32.247Z,15,<15,,1925,0,,,,,,,,,,
2020-07-07T19:25:00.177Z,16,<15,,1928,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,17,<15,,1938,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,17,<15,,1974,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,17,<15,,2039,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,21,<15,,300,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,25,<15,,265,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,25,<15,,271,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,25,<15,,271,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,25,<15,,204,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,26,<15,,221,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,26,<15,,223,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,26,<15,,174,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,26,<15,,187,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,27,<15,,243,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,27,<15,,298,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,27,<15,,275,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,27,<15,,289,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,28,<15,,295,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,28,<15,,300,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,28,<15,,300,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,30,<15,,272,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,30,<15,5,274,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,30,<15,0,272,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,31,<15,6,334,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,31,<15,6,352,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,31,<15,6,335,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,31,<15,6,337,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,35,17,8,366,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,35,17,8,374,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,35,16,7,315,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,36,17,8,320,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,37,15,7,332,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,37,15,7,340,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,37,15,7,306,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,37,15,7,317,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,37,15,7,328,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,37,<15,6,418,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,37,<15,6,418,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,37,<15,6,408,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,37,<15,6,410,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,37,<15,6,413,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,37,<15,6,424,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,37,<15,6,396,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,37,<15,6,399,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,37,<15,5,410,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,37,<15,5,413,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,37,<15,5,249,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,37,<15,5,253,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,38,<15,6,277,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,38,<15,6,278,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,38,<15,6,245,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,38,<15,6,249,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,41,16,7,270,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,43,18,8,284,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,43,18,8,266,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,43,18,8,266,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,44,19,8,286,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,44,19,8,286,6-10,,,,,,,,,,
