Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,325,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,325,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,331,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,331,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,333,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,349,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,439,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,439,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,13,49,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,49,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,13,51,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,13,52,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,13,47,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,13,47,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,<15,13,50,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,<15,13,51,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,<15,13,43,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,<15,16,45,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,<15,19,53,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,<15,19,57,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,<15,19,43,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,<15,25,50,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,<15,25,55,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,<15,25,96,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,<15,25,97,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,<15,25,94,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,<15,25,94,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,<15,<15,25,96,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,<15,<15,25,113,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,<15,<15,22,108,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,<15,<15,22,111,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,<15,<15,22,112,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,<15,<15,22,116,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,<15,<15,22,109,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,<15,<15,22,115,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,<15,<15,22,118,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,<15,<15,22,119,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,<15,<15,22,112,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,<15,<15,22,114,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,<15,<15,22,116,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,<15,<15,25,119,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,<15,<15,25,111,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,<15,<15,25,111,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,<15,<15,28,117,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,<15,<15,28,117,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,<15,<15,28,84,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,15,<15,31,92,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,15,<15,31,119,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,15,<15,31,101,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,15,<15,31,101,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,15,<15,31,82,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,15,<15,31,82,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,15,<15,31,83,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,15,<15,31,87,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,15,<15,28,78,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,15,<15,28,82,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,15,<15,28,82,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,15,<15,22,73,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,15,<15,22,74,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,16,<15,25,90,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,16,<15,25,91,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,16,<15,25,80,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,16,<15,25,81,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,17,<15,28,87,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,17,<15,28,88,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,17,<15,28,78,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,17,<15,28,80,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,19,<15,35,89,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,19,<15,35,91,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,19,<15,35,51,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,19,<15,35,53,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,19,<15,31,86,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,19,<15,28,91,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,19,<15,28,91,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,19,<15,28,88,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,19,<15,28,88,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,19,<15,28,92,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,19,<15,28,88,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,19,<15,28,91,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,19,<15,28,95,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,19,<15,28,76,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,19,<15,28,79,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,19,<15,25,83,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,19,<15,25,83,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,19,<15,25,77,1-5,,,,,,,,,,
