Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,20,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,20,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,20,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,20,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,20,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,20,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,20,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,20,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,20,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,20,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,20,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,20,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,21,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,21,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,22,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,22,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,22,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,22,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,22,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,23,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,23,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,24,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,24,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,27,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,27,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,27,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,27,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,28,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,28,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,28,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,28,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,29,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,30,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,30,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,30,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,31,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,32,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,32,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,32,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,32,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,32,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,33,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,33,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,33,<15,,2361,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,33,<15,,2381,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,33,<15,,2387,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,33,<15,,2394,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,33,<15,,2401,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,33,<15,,2406,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,34,<15,,2408,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,34,<15,,2415,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,34,<15,,2421,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,34,<15,,2430,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,34,<15,,2437,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,34,<15,,2449,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,34,<15,,2449,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,34,<15,,2451,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,34,<15,,2473,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,34,<15,,2473,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,34,<15,,2476,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,34,<15,,2477,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,34,<15,,2502,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,34,<15,,2502,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,34,<15,,2516,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,34,<15,,2520,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,34,<15,,124,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,34,<15,,112,0,,,,,,,,,,
2020-07-15T15:35:31.323Z,34,<15,,127,0,,,,,,,,,,
2020-07-15T19:29:13.910Z,35,<15,,130,0,,,,,,,,,,
2020-07-16T07:40:17.937Z,36,<15,,110,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,36,<15,,114,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,36,<15,,116,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,36,<15,,110,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,36,<15,,129,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,36,<15,,125,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,36,<15,,110,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,37,<15,,113,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,38,15,,119,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,38,15,,97,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,38,15,,107,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,38,15,,124,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,38,15,,106,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,38,15,,118,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,39,16,,124,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,39,16,,109,<15,,,,,,,,,,
