Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,1172,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,1180,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,1180,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,1192,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,1195,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,149,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,22,<15,,270,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,23,<15,,283,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,24,<15,,242,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,24,<15,,270,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,24,<15,,262,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,24,<15,,270,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,24,<15,,219,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,26,15,,216,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,26,15,,195,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,26,15,,212,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,26,<15,,179,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,26,<15,6,183,1-5,,,,,,,,,,
