Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,204,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,205,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,207,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,216,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,39,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,15,<15,,23,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,15,<15,,23,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,16,<15,45,27,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,15,<15,0,23,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,16,<15,45,30,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,16,<15,45,31,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,16,<15,45,32,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,16,<15,45,32,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,16,<15,45,34,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,16,<15,45,36,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,16,<15,45,31,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,16,<15,45,31,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,16,<15,41,33,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,16,<15,41,34,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,16,<15,41,30,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,16,<15,41,30,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,16,<15,41,30,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,16,<15,37,31,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,16,<15,37,32,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,16,<15,37,23,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,16,<15,37,23,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,16,<15,37,24,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,16,<15,37,24,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,16,<15,33,22,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,16,<15,33,22,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,16,<15,33,25,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,16,<15,33,26,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,16,<15,29,18,0,,,,,,,,,,
2020-08-04T07:09:49.710Z,16,<15,29,19,0,,,,,,,,,,
2020-08-04T16:04:10.740Z,16,<15,29,20,0,,,,,,,,,,
2020-08-04T19:23:52.547Z,16,<15,29,21,0,,,,,,,,,,
2020-08-05T04:07:11.650Z,16,<15,25,17,0,,,,,,,,,,
2020-08-05T07:07:34.267Z,16,<15,25,17,0,,,,,,,,,,
2020-08-05T15:57:55.180Z,17,<15,29,19,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,17,<15,29,20,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,17,<15,29,16,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,17,<15,29,16,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,17,<15,29,19,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,17,<15,29,19,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,18,<15,33,21,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,18,<15,33,21,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,18,<15,33,22,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,18,<15,29,22,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,18,<15,29,22,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,18,<15,29,21,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,18,<15,29,22,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,18,<15,29,22,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,18,<15,29,22,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,18,<15,25,16,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,18,<15,25,16,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,18,<15,25,16,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,18,<15,25,12,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,18,<15,25,14,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,18,<15,25,17,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,19,<15,29,17,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,19,<15,16,15,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,19,<15,16,16,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,19,<15,16,17,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,19,<15,16,17,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,19,<15,16,11,0,,,,,,,,,,
2020-08-13T07:09:54.410Z,19,<15,16,11,0,,,,,,,,,,
2020-08-13T16:00:11.437Z,19,<15,16,12,0,,,,,,,,,,
2020-08-13T19:08:43.847Z,19,<15,16,12,0,,,,,,,,,,
2020-08-14T04:07:12.977Z,20,<15,21,12,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,20,<15,21,12,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,20,<15,16,14,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,20,<15,16,15,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,20,<15,16,15,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,20,<15,16,14,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,20,<15,16,14,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,19,<15,12,13,0,,,,,,,,,,
2020-08-17T07:41:16.500Z,19,<15,12,16,0,,,,,,,,,,
2020-08-17T15:51:53.560Z,19,<15,12,16,0,,,,,,,,,,
2020-08-17T19:45:07.133Z,19,<15,12,16,0,,,,,,,,,,
2020-08-18T03:43:43.340Z,19,<15,12,11,0,,,,,,,,,,
2020-08-18T07:12:06.963Z,19,<15,12,12,0,,,,,,,,,,
2020-08-18T16:09:29.920Z,19,<15,12,12,0,,,,,,,,,,
2020-08-18T18:55:23.410Z,19,<15,12,15,0,,,,,,,,,,
2020-08-19T04:45:32.057Z,19,<15,12,16,0,,,,,,,,,,
2020-08-19T07:38:12.840Z,20,<15,16,21,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,23,<15,29,23,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,23,<15,29,24,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,23,<15,25,22,1-5,,,,,,,,,,
