Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,8,24,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,24,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,8,25,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,8,26,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,8,24,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,8,24,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,<15,10,31,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,<15,10,33,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,<15,10,25,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,<15,10,25,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,<15,10,26,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,<15,10,28,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,<15,10,24,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,<15,10,36,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,<15,10,37,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,<15,10,39,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,<15,10,39,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,<15,10,35,1-5,,,,,,,,,,
