Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,33,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,34,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,34,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,34,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,34,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,34,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,34,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,34,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,35,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,35,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,35,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,35,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,36,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,36,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,36,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,36,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,36,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,37,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,38,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,38,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,38,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,38,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,38,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,38,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,37,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,36,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,36,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,36,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,36,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,37,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,36,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,36,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,36,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,36,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,34,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,34,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,34,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,34,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,34,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,34,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,34,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,35,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,35,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,35,<15,,4021,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,35,<15,,4041,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,36,<15,,4050,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,36,<15,,4056,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,36,<15,,4071,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,36,<15,,4080,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,37,<15,,4101,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,38,<15,,4153,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,39,<15,,4182,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,39,<15,,4215,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,39,<15,,4227,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,45,<15,,4340,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,45,<15,,4347,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,46,<15,,4375,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,47,<15,,4389,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,48,<15,,337,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,47,<15,,297,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,47,<15,,319,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,48,<15,,333,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,51,16,,298,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,51,16,,314,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,51,16,,328,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,51,16,,304,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,53,18,,338,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,58,23,,377,18,,,,,,,,,,
2020-07-19T07:20:25.537Z,58,23,,406,16,,,,,,,,,,
2020-07-19T15:47:25.010Z,58,23,,442,16,,,,,,,,,,
2020-07-19T19:39:30.623Z,58,23,,453,16,,,,,,,,,,
2020-07-20T07:39:43.380Z,60,25,,415,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,60,25,,429,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,60,25,,443,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,64,29,,405,16,,,,,,,,,,
2020-07-21T15:44:09.447Z,66,31,,431,18,,,,,,,,,,
2020-07-21T19:34:08.533Z,67,32,,440,19,,,,,,,,,,
2020-07-22T07:21:49.913Z,68,33,,428,19,,,,,,,,,,
2020-07-22T16:17:18.653Z,68,33,,441,19,,,,,,,,,,
2020-07-22T19:32:45.860Z,69,34,,450,20,,,,,,,,,,
2020-07-23T07:43:44.770Z,72,36,,424,20,,,,,,,,,,
2020-07-23T15:47:26.380Z,72,36,,435,20,,,,,,,,,,
2020-07-23T19:45:09.340Z,73,37,,467,21,,,,,,,,,,
2020-07-24T07:25:49.703Z,73,37,,458,18,,,,,,,,,,
2020-07-24T14:58:49.413Z,75,39,,472,20,,,,,,,,,,
2020-07-25T16:46:57.223Z,74,38,,410,15,,,,,,,,,,
2020-07-25T19:33:21.280Z,73,37,,414,15,,,,,,,,,,
2020-07-26T07:34:22.503Z,73,37,,372,15,,,,,,,,,,
2020-07-26T16:24:05.187Z,73,37,,394,15,,,,,,,,,,
2020-07-26T19:12:10.287Z,75,38,,398,16,,,,,,,,,,
2020-07-27T07:17:01.273Z,77,40,,352,15,,,,,,,,,,
2020-07-27T16:04:20.010Z,78,41,,399,16,,,,,,,,,,
2020-07-27T19:25:32.007Z,79,42,,403,17,,,,,,,,,,
2020-07-28T04:31:31.657Z,79,40,,364,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,79,40,,372,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,79,40,9,374,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,79,40,0,372,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,81,42,10,406,11-14,,,,,,,,,,
2020-07-28T19:05:30.067Z,81,42,10,424,11-14,,,,,,,,,,
2020-07-29T04:22:45.457Z,83,44,10,383,11-14,,,,,,,,,,
2020-07-29T07:43:55.003Z,83,44,10,404,11-14,,,,,,,,,,
2020-07-29T15:54:50.897Z,85,46,10,437,11-14,,,,,,,,,,
2020-07-29T19:47:41.590Z,85,46,10,452,11-14,,,,,,,,,,
2020-07-30T03:34:45.407Z,86,45,10,411,11-14,,,,,,,,,,
2020-07-30T07:55:24.147Z,86,45,10,416,11-14,,,,,,,,,,
2020-07-30T15:43:54.137Z,86,39,9,429,11-14,,,,,,,,,,
2020-07-30T19:25:51.573Z,86,39,9,441,11-14,,,,,,,,,,
2020-07-31T03:50:21.007Z,89,41,9,385,15,,,,,,,,,,
2020-07-31T07:43:12.217Z,89,41,9,399,15,,,,,,,,,,
2020-07-31T14:53:21.500Z,89,41,9,454,15,,,,,,,,,,
2020-08-01T16:50:00.920Z,93,40,9,524,19,,,,,,,,,,
2020-08-01T19:55:08.933Z,94,41,9,531,20,,,,,,,,,,
2020-08-02T03:33:43.373Z,94,40,9,492,17,,,,,,,,,,
2020-08-02T07:36:18.830Z,94,40,9,493,17,,,,,,,,,,
2020-08-02T14:56:26.230Z,94,40,9,500,17,,,,,,,,,,
2020-08-02T19:40:45.250Z,94,40,9,501,17,,,,,,,,,,
2020-08-03T04:12:58.747Z,95,38,9,443,16,,,,,,,,,,
2020-08-03T07:31:19.470Z,95,38,9,462,16,,,,,,,,,,
2020-08-03T15:51:59.413Z,97,40,9,470,18,,,,,,,,,,
2020-08-03T19:19:51.413Z,97,40,9,481,18,,,,,,,,,,
2020-08-04T04:24:01.137Z,99,38,9,417,16,,,,,,,,,,
2020-08-04T07:09:49.710Z,99,38,9,420,16,,,,,,,,,,
2020-08-04T16:04:10.740Z,99,38,9,435,16,,,,,,,,,,
2020-08-04T19:23:52.547Z,99,38,9,437,16,,,,,,,,,,
2020-08-05T04:07:11.650Z,105,41,9,396,20,,,,,,,,,,
2020-08-05T07:07:34.267Z,107,43,10,400,22,,,,,,,,,,
2020-08-05T15:57:55.180Z,111,47,11,440,26,,,,,,,,,,
2020-08-05T19:15:38.693Z,111,47,11,481,26,,,,,,,,,,
2020-08-06T03:52:50.220Z,115,49,11,550,27,,,,,,,,,,
2020-08-06T07:26:05.917Z,115,49,11,558,27,,,,,,,,,,
2020-08-06T15:55:31.993Z,118,52,12,704,30,,,,,,,,,,
2020-08-06T19:15:44.523Z,119,53,12,718,31,,,,,,,,,,
2020-08-07T03:46:04.500Z,122,56,13,596,31,,,,,,,,,,
2020-08-07T08:10:09.393Z,122,56,13,607,31,,,,,,,,,,
2020-08-07T14:40:50.180Z,124,58,13,654,33,,,,,,,,,,
2020-08-08T16:45:50.553Z,127,58,13,649,33,,,,,,,,,,
2020-08-08T19:27:22.153Z,127,58,13,668,33,,,,,,,,,,
2020-08-09T04:06:23.703Z,127,57,13,666,33,,,,,,,,,,
2020-08-09T07:14:20.263Z,127,57,13,666,33,,,,,,,,,,
2020-08-09T16:06:33.187Z,127,57,13,668,33,,,,,,,,,,
2020-08-09T19:26:37.877Z,128,58,13,677,34,,,,,,,,,,
2020-08-10T07:20:10.150Z,129,58,13,631,31,,,,,,,,,,
2020-08-10T15:48:14.683Z,131,60,14,653,33,,,,,,,,,,
2020-08-10T19:33:40.523Z,129,59,13,654,31,,,,,,,,,,
