Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,<15,,,,,,,,,,,,,,
2020-07-28T08:57:27.217Z,18,<15,20,23,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,18,<15,0,23,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,18,<15,20,27,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,18,<15,20,28,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,18,<15,20,28,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,18,<15,20,28,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,18,<15,20,30,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,18,<15,20,30,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,18,<15,16,25,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,18,<15,16,27,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,18,<15,16,28,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,18,<15,16,28,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,18,<15,16,25,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,18,<15,16,26,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,19,<15,20,27,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,19,<15,20,24,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,19,<15,20,24,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,19,<15,20,19,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,19,<15,20,19,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,19,<15,20,19,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,19,<15,20,19,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,19,<15,16,17,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,19,<15,16,17,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,19,<15,16,18,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,19,<15,16,19,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,19,<15,12,12,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,19,<15,12,15,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,19,<15,12,15,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,19,<15,12,15,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,19,<15,12,13,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,19,<15,12,13,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,19,<15,12,15,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,19,<15,12,16,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,19,<15,12,14,1-5,,,,,,,,,,
