Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,244,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,267,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,269,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,276,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,280,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,293,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,294,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,<15,<15,,300,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,<15,<15,,306,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,<15,<15,,58,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,16,<15,,76,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,16,<15,,79,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,16,<15,,71,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,18,<15,,69,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,19,<15,,68,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,19,<15,,70,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,19,<15,,70,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,19,<15,,50,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,19,<15,,42,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,19,<15,,37,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,19,<15,39,25,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,19,<15,0,25,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,21,<15,47,30,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,21,<15,47,30,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,21,<15,47,23,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,21,<15,47,28,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,21,<15,47,29,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,21,<15,47,31,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,21,<15,39,27,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,21,<15,39,27,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,21,<15,30,28,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,21,<15,30,28,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,22,<15,34,26,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,22,<15,34,26,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,22,<15,34,30,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,22,<15,34,38,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,22,<15,34,38,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,22,<15,34,36,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,22,<15,34,36,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,22,<15,34,38,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,22,<15,34,38,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,22,<15,22,33,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,22,<15,17,33,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,22,<15,17,34,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,22,<15,17,34,1-5,,,,,,,,,,
