Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,<15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,<15,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,1095,0,,,,,,,,,,
2020-07-06T15:56:00.557Z,<15,<15,,1100,0,,,,,,,,,,
2020-07-07T05:00:26.417Z,<15,<15,,1104,0,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,1105,0,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,1111,0,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,1119,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,1125,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,1141,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,1152,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,1161,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,1176,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,<15,<15,,1187,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,1200,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,1221,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,<15,<15,,1250,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,251,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,<15,<15,,324,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,15,<15,,68,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,15,<15,16,70,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,15,<15,0,68,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,16,<15,18,75,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,16,<15,18,78,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,16,<15,18,110,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,16,<15,18,112,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,16,<15,18,120,1-5,,,,,,,,,,
