Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,143,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,146,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,147,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,147,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,147,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,148,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,150,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,152,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,154,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,155,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,159,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,160,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,163,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,165,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,171,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,171,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,170,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,172,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,172,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,183,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,183,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,183,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,183,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,183,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,186,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,192,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,194,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,198,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,203,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,203,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,214,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,220,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,224,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,223,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,237,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,244,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,245,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,251,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,261,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,267,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,268,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,270,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,273,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,277,136,,16604,81,,,,,,,,,,
2020-07-06T15:56:00.557Z,287,145,,16867,91,,,,,,,,,,
2020-07-07T05:00:26.417Z,293,150,,17172,83,,,,,,,,,,
2020-07-07T07:17:42.693Z,293,150,,17203,83,,,,,,,,,,
2020-07-07T15:43:32.247Z,307,163,,17413,96,,,,,,,,,,
2020-07-07T19:25:00.177Z,311,167,,17822,100,,,,,,,,,,
2020-07-08T07:31:44.197Z,317,171,,18022,93,,,,,,,,,,
2020-07-08T15:51:46.940Z,321,175,,18191,96,,,,,,,,,,
2020-07-08T19:34:17.600Z,328,182,,18377,103,,,,,,,,,,
2020-07-09T07:16:21.100Z,334,187,,18585,80,,,,,,,,,,
2020-07-09T15:38:11.660Z,343,194,,18830,90,,,,,,,,,,
2020-07-10T04:16:29.737Z,362,212,,19144,104,,,,,,,,,,
2020-07-10T07:28:43.630Z,365,215,,19176,107,,,,,,,,,,
2020-07-10T14:20:07.117Z,379,227,,19428,121,,,,,,,,,,
2020-07-11T17:08:38.350Z,411,258,,19909,139,,,,,,,,,,
2020-07-11T19:41:22.557Z,411,258,,19909,139,,,,,,,,,,
2020-07-12T07:32:17.937Z,418,265,,20084,138,,,,,,,,,,
2020-07-12T15:55:03.303Z,422,266,,20192,142,,,,,,,,,,
2020-07-13T12:16:23.697Z,434,274,,20470,134,,,,,,,,,,
2020-07-13T13:19:16.637Z,434,274,,20484,134,,,,,,,,,,
2020-07-13T19:28:55.597Z,439,275,,20588,139,,,,,,,,,,
2020-07-14T07:14:06.710Z,441,276,,20826,121,,,,,,,,,,
2020-07-14T20:02:00.000Z,452,281,,3320,131,,,,,,,,,,
2020-07-15T07:32:13.567Z,454,282,,2880,111,,,,,,,,,,
2020-07-15T15:35:31.323Z,465,290,,3106,122,,,,,,,,,,
2020-07-15T19:29:13.910Z,472,297,,3197,129,,,,,,,,,,
2020-07-16T07:40:17.937Z,474,299,,2713,104,,,,,,,,,,
2020-07-16T15:42:35.290Z,515,337,,3037,146,,,,,,,,,,
2020-07-16T19:09:09.317Z,521,343,,3130,152,,,,,,,,,,
2020-07-17T07:18:52.977Z,524,345,,2633,121,,,,,,,,,,
2020-07-17T15:27:31.690Z,539,358,,2767,135,,,,,,,,,,
2020-07-18T19:46:54.420Z,566,377,,2794,152,,,,,,,,,,
2020-07-19T07:20:25.537Z,568,374,,2522,145,,,,,,,,,,
2020-07-19T15:47:25.010Z,568,374,,2622,145,,,,,,,,,,
2020-07-19T19:39:30.623Z,572,377,,2701,149,,,,,,,,,,
2020-07-20T07:39:43.380Z,577,382,,2327,140,,,,,,,,,,
2020-07-20T16:08:51.117Z,594,398,,2475,156,,,,,,,,,,
2020-07-20T19:37:52.507Z,598,401,,2527,160,,,,,,,,,,
2020-07-21T07:10:01.260Z,606,404,,2045,156,,,,,,,,,,
2020-07-21T15:44:09.447Z,614,407,,2144,163,,,,,,,,,,
2020-07-21T19:34:08.533Z,617,408,,2205,166,,,,,,,,,,
2020-07-22T07:21:49.913Z,624,410,,1779,125,,,,,,,,,,
2020-07-22T16:17:18.653Z,648,427,,1919,145,,,,,,,,,,
2020-07-22T19:32:45.860Z,654,429,,2127,151,,,,,,,,,,
2020-07-23T07:43:44.770Z,657,426,,1801,124,,,,,,,,,,
2020-07-23T15:47:26.380Z,666,427,,2127,135,,,,,,,,,,
2020-07-23T19:45:09.340Z,680,440,,2202,149,,,,,,,,,,
2020-07-24T07:25:49.703Z,689,423,,2010,128,,,,,,,,,,
2020-07-24T14:58:49.413Z,699,412,,2289,138,,,,,,,,,,
2020-07-25T16:46:57.223Z,703,415,,2209,131,,,,,,,,,,
2020-07-25T19:33:21.280Z,704,416,,2237,132,,,,,,,,,,
2020-07-26T07:34:22.503Z,716,424,,2156,136,,,,,,,,,,
2020-07-26T16:24:05.187Z,721,429,,2202,140,,,,,,,,,,
2020-07-26T19:12:10.287Z,729,436,,2257,148,,,,,,,,,,
2020-07-27T07:17:01.273Z,732,438,,1955,126,,,,,,,,,,
2020-07-27T16:04:20.010Z,752,457,,2235,145,,,,,,,,,,
2020-07-27T19:25:32.007Z,752,457,,2325,148,,,,,,,,,,
2020-07-28T04:31:31.657Z,758,423,,2062,135,,,,,,,,,,
2020-07-28T07:41:01.270Z,759,422,,2155,136,,,,,,,,,,
2020-07-28T08:57:27.217Z,764,427,31,2180,141,,,,,,,,,,
2020-07-28T07:41:01.270Z,759,422,0,2155,136,,,,,,,,,,
2020-07-28T15:57:37.887Z,780,442,32,2388,157,,,,,,,,,,
2020-07-28T19:05:30.067Z,784,446,32,2422,161,,,,,,,,,,
2020-07-29T04:22:45.457Z,789,442,32,1998,142,,,,,,,,,,
2020-07-29T07:43:55.003Z,790,443,32,2053,143,,,,,,,,,,
2020-07-29T15:54:50.897Z,808,460,33,2207,160,,,,,,,,,,
2020-07-29T19:47:41.590Z,813,465,33,2277,165,,,,,,,,,,
2020-07-30T03:34:45.407Z,814,443,32,1837,129,,,,,,,,,,
2020-07-30T07:55:24.147Z,815,443,32,1880,131,,,,,,,,,,
2020-07-30T15:43:54.137Z,824,363,26,1964,139,,,,,,,,,,
