Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,221,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,227,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,227,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,226,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,226,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,226,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,230,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,232,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,233,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,238,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,240,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,240,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,242,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,242,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,247,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,248,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,251,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,252,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,254,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,263,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,264,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,269,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,270,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,269,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,269,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,271,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,275,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,279,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,285,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,288,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,302,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,310,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,309,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,314,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,321,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,327,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,332,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,344,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,357,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,358,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,360,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,368,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,369,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,371,167,,19453,93,,,,,,,,,,
2020-07-06T15:56:00.557Z,375,170,,19626,97,,,,,,,,,,
2020-07-07T05:00:26.417Z,379,173,,19839,86,,,,,,,,,,
