Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,47,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,48,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,48,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,47,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,48,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,48,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,49,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,49,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,49,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,49,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,49,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,49,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,49,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,49,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,49,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,50,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,49,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,49,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,49,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,50,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,50,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,50,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,50,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,50,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,52,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,52,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,53,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,54,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,54,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,55,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,56,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,56,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,57,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,57,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,64,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,69,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,69,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,72,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,73,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,76,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,76,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,81,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,81,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,84,38,,4673,31,,,,,,,,,,
2020-07-06T15:56:00.557Z,84,38,,4698,31,,,,,,,,,,
2020-07-07T05:00:26.417Z,86,40,,4765,30,,,,,,,,,,
2020-07-07T07:17:42.693Z,86,40,,4771,30,,,,,,,,,,
2020-07-07T15:43:32.247Z,89,43,,4802,33,,,,,,,,,,
2020-07-07T19:25:00.177Z,92,46,,4842,36,,,,,,,,,,
2020-07-08T07:31:44.197Z,94,48,,4874,36,,,,,,,,,,
2020-07-08T15:51:46.940Z,97,51,,4918,39,,,,,,,,,,
2020-07-08T19:34:17.600Z,98,52,,4947,40,,,,,,,,,,
2020-07-09T07:16:21.100Z,98,52,,5019,29,,,,,,,,,,
2020-07-09T15:38:11.660Z,105,58,,5129,36,,,,,,,,,,
2020-07-10T04:16:29.737Z,108,61,,5221,35,,,,,,,,,,
2020-07-10T07:28:43.630Z,108,61,,5226,35,,,,,,,,,,
2020-07-10T14:20:07.117Z,109,63,,5295,37,,,,,,,,,,
2020-07-11T17:08:38.350Z,119,73,,5390,43,,,,,,,,,,
2020-07-11T19:41:22.557Z,118,72,,5389,42,,,,,,,,,,
2020-07-12T07:32:17.937Z,122,76,,5471,40,,,,,,,,,,
2020-07-12T15:55:03.303Z,129,83,,5524,47,,,,,,,,,,
2020-07-13T12:16:23.697Z,131,84,,5668,45,,,,,,,,,,
2020-07-13T13:19:16.637Z,131,84,,5676,45,,,,,,,,,,
2020-07-13T19:28:55.597Z,135,88,,5711,50,,,,,,,,,,
2020-07-14T07:14:06.710Z,137,90,,5756,45,,,,,,,,,,
2020-07-14T20:02:00.000Z,141,94,,1026,49,,,,,,,,,,
2020-07-15T07:32:13.567Z,142,94,,894,45,,,,,,,,,,
2020-07-15T15:35:31.323Z,145,96,,987,48,,,,,,,,,,
2020-07-15T19:29:13.910Z,145,96,,1016,48,,,,,,,,,,
2020-07-16T07:40:17.937Z,145,96,,923,38,,,,,,,,,,
2020-07-16T15:42:35.290Z,148,98,,1016,40,,,,,,,,,,
2020-07-16T19:09:09.317Z,151,100,,1074,43,,,,,,,,,,
2020-07-17T07:18:52.977Z,151,99,,994,38,,,,,,,,,,
2020-07-17T15:27:31.690Z,152,100,,1049,40,,,,,,,,,,
2020-07-18T19:46:54.420Z,155,103,,1015,36,,,,,,,,,,
2020-07-19T07:20:25.537Z,156,104,,884,26,,,,,,,,,,
2020-07-19T15:47:25.010Z,163,111,,935,33,,,,,,,,,,
2020-07-19T19:39:30.623Z,163,111,,958,33,,,,,,,,,,
2020-07-20T07:39:43.380Z,163,111,,897,29,,,,,,,,,,
2020-07-20T16:08:51.117Z,166,113,,950,32,,,,,,,,,,
