Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-15T15:35:31.323Z,<15,<15,,58,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,68,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,<15,<15,,90,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,<15,<15,,93,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,<15,<15,,99,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,15,15,,108,15,,,,,,,,,,
2020-07-20T07:39:43.380Z,17,17,,105,15,,,,,,,,,,
2020-07-20T16:08:51.117Z,17,17,,113,15,,,,,,,,,,
2020-07-20T19:37:52.507Z,18,18,,130,16,,,,,,,,,,
2020-07-21T07:10:01.260Z,19,19,,141,17,,,,,,,,,,
2020-07-21T15:44:09.447Z,19,19,,157,17,,,,,,,,,,
2020-07-21T19:34:08.533Z,19,19,,159,17,,,,,,,,,,
2020-07-22T07:21:49.913Z,19,19,,172,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,19,19,,179,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,19,19,,186,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,20,20,,187,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,21,21,,194,15,,,,,,,,,,
2020-07-23T19:45:09.340Z,21,21,,201,15,,,,,,,,,,
2020-07-24T07:25:49.703Z,22,22,,219,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,22,22,,225,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,23,23,,224,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,23,23,,226,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,23,23,,215,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,23,23,,223,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,23,23,,224,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,23,23,,187,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,23,23,,197,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,23,23,,199,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,23,23,,161,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,23,,162,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,23,23,14,164,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,23,23,0,162,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,23,23,14,170,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,23,23,14,182,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,23,23,14,147,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,23,23,14,154,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,23,23,14,166,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,23,23,14,169,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,23,23,14,133,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,23,23,14,137,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,24,<15,8,141,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,25,<15,8,145,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,25,<15,8,122,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,25,<15,8,124,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,25,<15,8,129,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,24,<15,8,122,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,27,16,10,127,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,27,16,10,117,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,27,16,10,117,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,27,16,10,120,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,27,16,10,120,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,27,<15,4,106,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,27,<15,4,106,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,28,<15,5,113,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,28,<15,5,115,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,28,<15,5,99,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,28,<15,5,99,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,28,<15,5,102,1-5,,,,,,,,,,
