Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,16,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,16,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,16,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,16,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,16,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,16,16,,596,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,16,16,,616,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,16,16,,618,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,16,16,,628,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,16,16,,639,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,16,16,,641,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,16,16,,644,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,16,16,,647,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,16,16,,660,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,16,15,,661,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,16,15,,682,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,16,15,,682,0,,,,,,,,,,
2020-07-10T07:28:43.630Z,16,15,,682,0,,,,,,,,,,
2020-07-10T14:20:07.117Z,16,15,,688,0,,,,,,,,,,
2020-07-11T17:08:38.350Z,16,15,,698,0,,,,,,,,,,
2020-07-11T19:41:22.557Z,16,15,,698,0,,,,,,,,,,
2020-07-12T07:32:17.937Z,16,<15,,701,0,,,,,,,,,,
2020-07-12T15:55:03.303Z,16,<15,,703,0,,,,,,,,,,
2020-07-13T12:16:23.697Z,16,<15,,710,0,,,,,,,,,,
2020-07-13T13:19:16.637Z,16,<15,,710,0,,,,,,,,,,
2020-07-13T19:28:55.597Z,16,<15,,727,0,,,,,,,,,,
2020-07-14T07:14:06.710Z,16,<15,,727,0,,,,,,,,,,
2020-07-14T20:02:00.000Z,16,<15,,76,0,,,,,,,,,,
2020-07-15T07:32:13.567Z,16,<15,,62,0,,,,,,,,,,
2020-07-15T15:35:31.323Z,16,<15,,68,0,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,69,0,,,,,,,,,,
2020-07-16T07:40:17.937Z,16,<15,,46,0,,,,,,,,,,
2020-07-16T15:42:35.290Z,16,<15,,47,0,,,,,,,,,,
2020-07-16T19:09:09.317Z,16,<15,,48,0,,,,,,,,,,
2020-07-17T07:18:52.977Z,16,<15,,34,0,,,,,,,,,,
2020-07-17T15:27:31.690Z,16,<15,,37,0,,,,,,,,,,
2020-07-18T19:46:54.420Z,16,<15,,35,0,,,,,,,,,,
2020-07-19T07:20:25.537Z,16,<15,,28,0,,,,,,,,,,
2020-07-28T08:57:27.217Z,16,<15,10,13,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,16,<15,0,13,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,16,<15,10,13,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,16,<15,10,13,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,16,<15,5,8,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,16,<15,5,9,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,16,<15,5,12,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,16,<15,5,12,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,16,<15,5,9,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,16,<15,5,9,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,16,0,0,9,0,,,,,,,,,,
2020-07-30T19:25:51.573Z,16,0,0,9,0,,,,,,,,,,
2020-07-31T03:50:21.007Z,18,<15,5,13,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,18,<15,5,13,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,18,<15,5,13,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,21,<15,12,19,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,21,<15,12,19,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,21,<15,12,18,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,21,<15,12,18,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,21,<15,12,18,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,21,<15,12,18,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,21,<15,12,15,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,21,<15,12,33,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,22,<15,15,42,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,22,<15,15,42,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,22,<15,15,43,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,22,<15,15,46,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,23,<15,17,57,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,23,<15,17,59,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,23,<15,17,56,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,23,<15,17,57,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,23,<15,17,63,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,24,<15,19,67,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,24,<15,19,66,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,24,<15,19,68,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,24,<15,19,72,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,24,<15,19,72,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,24,<15,19,76,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,24,<15,19,81,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,24,<15,19,88,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,25,<15,22,99,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,25,<15,22,100,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,25,<15,22,100,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,25,<15,22,100,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,25,<15,22,104,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,25,<15,22,105,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,25,<15,22,83,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,26,<15,24,91,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,26,<15,24,94,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,26,<15,24,76,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,26,<15,24,76,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,25,<15,22,87,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,25,<15,22,88,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,25,<15,17,74,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,26,<15,19,78,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,26,<15,19,81,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,26,<15,19,82,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,26,<15,19,75,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,26,<15,19,78,1-5,,,,,,,,,,
