Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,<15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,15,<15,,561,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,16,<15,,572,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,17,<15,,607,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,17,<15,,607,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,17,<15,,619,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,17,<15,,634,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,18,15,,644,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,18,15,,666,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,18,15,,690,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,18,15,,699,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,19,16,,721,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,19,16,,734,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,19,16,,748,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,21,18,,755,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,22,18,,790,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,22,18,,790,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,24,20,,809,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,24,20,,818,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,26,22,,840,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,26,22,,844,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,26,22,,852,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,27,23,,866,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,27,23,,234,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,27,23,,183,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,28,24,,196,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,28,24,,203,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,28,24,,170,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,28,24,,176,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,29,25,,180,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,29,23,,149,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,29,22,,153,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,31,22,,137,<15,,,,,,,,,,
