Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,205,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,212,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,216,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,217,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,217,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,217,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,218,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,219,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,220,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,220,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,220,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,220,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,224,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,226,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,227,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,227,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,230,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,236,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,246,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,254,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,255,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,257,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,257,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,258,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,265,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,270,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,282,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,286,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,290,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,292,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,293,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,298,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,299,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,299,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,311,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,319,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,320,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,326,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,338,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,338,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,340,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,348,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,351,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,353,168,,8110,71,,,,,,,,,,
2020-07-06T15:56:00.557Z,356,170,,8159,73,,,,,,,,,,
2020-07-07T05:00:26.417Z,357,171,,8179,61,,,,,,,,,,
2020-07-07T07:17:42.693Z,360,174,,8211,64,,,,,,,,,,
2020-07-07T15:43:32.247Z,364,177,,8236,68,,,,,,,,,,
2020-07-07T19:25:00.177Z,364,177,,8267,68,,,,,,,,,,
2020-07-08T07:31:44.197Z,375,188,,8368,73,,,,,,,,,,
2020-07-08T15:51:46.940Z,378,188,,8493,75,,,,,,,,,,
2020-07-08T19:34:17.600Z,379,187,,8520,76,,,,,,,,,,
2020-07-09T07:16:21.100Z,385,192,,8584,67,,,,,,,,,,
2020-07-09T15:38:11.660Z,389,194,,8646,72,,,,,,,,,,
2020-07-10T04:16:29.737Z,390,194,,8726,61,,,,,,,,,,
2020-07-10T07:28:43.630Z,391,195,,8730,61,,,,,,,,,,
2020-07-10T14:20:07.117Z,393,196,,8778,63,,,,,,,,,,
2020-07-11T17:08:38.350Z,399,199,,8825,57,,,,,,,,,,
2020-07-11T19:41:22.557Z,399,199,,8825,57,,,,,,,,,,
2020-07-12T07:32:17.937Z,400,199,,8851,45,,,,,,,,,,
2020-07-12T15:55:03.303Z,403,201,,8893,47,,,,,,,,,,
2020-07-13T12:16:23.697Z,420,212,,9034,55,,,,,,,,,,
2020-07-13T13:19:16.637Z,421,213,,9039,56,,,,,,,,,,
2020-07-13T19:28:55.597Z,435,219,,9109,70,,,,,,,,,,
2020-07-14T07:14:06.710Z,436,220,,9127,64,,,,,,,,,,
2020-07-14T20:02:00.000Z,447,229,,927,74,,,,,,,,,,
2020-07-15T07:32:13.567Z,449,230,,700,59,,,,,,,,,,
2020-07-15T15:35:31.323Z,455,234,,773,65,,,,,,,,,,
2020-07-15T19:29:13.910Z,456,233,,796,66,,,,,,,,,,
2020-07-16T07:40:17.937Z,455,230,,679,63,,,,,,,,,,
2020-07-16T15:42:35.290Z,453,222,,741,64,,,,,,,,,,
2020-07-16T19:09:09.317Z,454,223,,776,65,,,,,,,,,,
2020-07-17T07:18:52.977Z,459,226,,721,65,,,,,,,,,,
2020-07-17T15:27:31.690Z,462,226,,788,68,,,,,,,,,,
2020-07-18T19:46:54.420Z,475,231,,893,78,,,,,,,,,,
2020-07-19T07:20:25.537Z,476,231,,830,73,,,,,,,,,,
2020-07-19T15:47:25.010Z,477,230,,864,74,,,,,,,,,,
2020-07-19T19:39:30.623Z,477,228,,896,74,,,,,,,,,,
2020-07-20T07:39:43.380Z,482,228,,750,51,,,,,,,,,,
2020-07-20T16:08:51.117Z,496,239,,860,65,,,,,,,,,,
2020-07-20T19:37:52.507Z,497,238,,891,66,,,,,,,,,,
2020-07-21T07:10:01.260Z,499,237,,788,59,,,,,,,,,,
2020-07-21T15:44:09.447Z,501,237,,849,62,,,,,,,,,,
2020-07-21T19:34:08.533Z,501,235,,883,62,,,,,,,,,,
2020-07-22T07:21:49.913Z,507,238,,805,57,,,,,,,,,,
2020-07-22T16:17:18.653Z,511,240,,857,60,,,,,,,,,,
2020-07-22T19:32:45.860Z,516,238,,898,65,,,,,,,,,,
2020-07-23T07:43:44.770Z,518,238,,812,63,,,,,,,,,,
2020-07-23T15:47:26.380Z,519,239,,851,64,,,,,,,,,,
2020-07-23T19:45:09.340Z,522,241,,868,67,,,,,,,,,,
2020-07-24T07:25:49.703Z,529,230,,862,62,,,,,,,,,,
2020-07-24T14:58:49.413Z,529,226,,899,62,,,,,,,,,,
2020-07-25T16:46:57.223Z,540,235,,894,64,,,,,,,,,,
2020-07-25T19:33:21.280Z,540,234,,903,64,,,,,,,,,,
2020-07-26T07:34:22.503Z,544,237,,862,65,,,,,,,,,,
2020-07-26T16:24:05.187Z,544,237,,882,66,,,,,,,,,,
2020-07-26T19:12:10.287Z,545,238,,889,67,,,,,,,,,,
2020-07-27T07:17:01.273Z,550,243,,790,53,,,,,,,,,,
2020-07-27T16:04:20.010Z,555,248,,836,59,,,,,,,,,,
2020-07-27T19:25:32.007Z,556,249,,844,60,,,,,,,,,,
2020-07-28T04:31:31.657Z,556,239,,696,52,,,,,,,,,,
2020-07-28T07:41:01.270Z,556,239,,704,52,,,,,,,,,,
2020-07-28T08:57:27.217Z,556,239,53,707,51,,,,,,,,,,
2020-07-28T07:41:01.270Z,556,239,0,704,52,,,,,,,,,,
2020-07-28T15:57:37.887Z,563,245,55,767,59,,,,,,,,,,
2020-07-28T19:05:30.067Z,563,244,54,798,59,,,,,,,,,,
2020-07-29T04:22:45.457Z,562,243,54,730,46,,,,,,,,,,
2020-07-29T07:43:55.003Z,568,249,55,880,52,,,,,,,,,,
2020-07-29T15:54:50.897Z,573,254,57,947,57,,,,,,,,,,
2020-07-29T19:47:41.590Z,573,254,57,1038,57,,,,,,,,,,
2020-07-30T03:34:45.407Z,574,244,54,925,46,,,,,,,,,,
2020-07-30T07:55:24.147Z,573,243,54,927,45,,,,,,,,,,
2020-07-30T15:43:54.137Z,577,122,27,977,49,,,,,,,,,,
2020-07-30T19:25:51.573Z,579,124,28,989,51,,,,,,,,,,
2020-07-31T03:50:21.007Z,582,127,28,898,45,,,,,,,,,,
2020-07-31T07:43:12.217Z,586,131,29,974,49,,,,,,,,,,
2020-07-31T14:53:21.500Z,591,136,30,1003,54,,,,,,,,,,
2020-08-01T16:50:00.920Z,599,131,29,991,54,,,,,,,,,,
2020-08-01T19:55:08.933Z,599,131,29,992,54,,,,,,,,,,
