Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-27T16:04:20.010Z,<15,<15,,137,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,<15,<15,,139,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,<15,<15,,129,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,,131,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,8,132,11-14,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,131,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,7,138,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,7,143,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,7,140,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,8,149,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,15,15,10,156,11-14,,,,,,,,,,
2020-07-29T19:47:41.590Z,15,15,10,161,11-14,,,,,,,,,,
2020-07-30T03:34:45.407Z,15,15,10,144,11-14,,,,,,,,,,
2020-07-30T07:55:24.147Z,17,17,12,148,11-14,,,,,,,,,,
2020-07-30T15:43:54.137Z,17,17,12,159,11-14,,,,,,,,,,
2020-07-30T19:25:51.573Z,18,18,12,164,15,,,,,,,,,,
2020-07-31T03:50:21.007Z,18,18,12,140,15,,,,,,,,,,
2020-07-31T07:43:12.217Z,18,18,12,148,15,,,,,,,,,,
2020-07-31T14:53:21.500Z,18,18,12,155,15,,,,,,,,,,
2020-08-01T16:50:00.920Z,19,19,13,140,11-14,,,,,,,,,,
2020-08-01T19:55:08.933Z,19,19,13,140,11-14,,,,,,,,,,
2020-08-02T03:33:43.373Z,19,19,13,135,11-14,,,,,,,,,,
2020-08-02T07:36:18.830Z,19,19,13,135,11-14,,,,,,,,,,
2020-08-02T14:56:26.230Z,20,20,14,139,11-14,,,,,,,,,,
2020-08-02T19:40:45.250Z,20,20,14,144,11-14,,,,,,,,,,
2020-08-03T04:12:58.747Z,20,20,14,126,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,20,20,14,127,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,20,20,14,129,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,20,20,14,129,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,20,20,14,121,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,20,20,14,121,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,20,20,14,124,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,20,20,14,124,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,20,19,13,82,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,20,19,13,95,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,20,19,13,104,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,20,19,13,107,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,22,20,14,99,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,22,20,14,99,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,23,21,14,112,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,23,21,14,113,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,23,17,12,101,1-5,,,,,,,,,,
