Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,53,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,53,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,53,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,53,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,53,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,53,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,53,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,53,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,53,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,53,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,54,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,54,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,54,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,54,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,55,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,55,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,55,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,56,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,56,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,56,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,56,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,57,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,57,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,57,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,58,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,58,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,58,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,62,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,63,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,63,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,64,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,67,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,67,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,67,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,69,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,70,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,70,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,72,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,78,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,79,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,79,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,80,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,83,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,83,33,,3681,25,,,,,,,,,,
2020-07-06T15:56:00.557Z,87,37,,3721,29,,,,,,,,,,
2020-07-07T05:00:26.417Z,89,39,,3753,26,,,,,,,,,,
2020-07-07T07:17:42.693Z,89,39,,3757,26,,,,,,,,,,
2020-07-07T15:43:32.247Z,90,40,,3822,27,,,,,,,,,,
2020-07-07T19:25:00.177Z,90,40,,3842,27,,,,,,,,,,
2020-07-08T07:31:44.197Z,92,42,,3943,25,,,,,,,,,,
2020-07-08T15:51:46.940Z,93,43,,3982,26,,,,,,,,,,
2020-07-08T19:34:17.600Z,94,44,,3999,27,,,,,,,,,,
2020-07-09T07:16:21.100Z,94,44,,4047,24,,,,,,,,,,
2020-07-09T15:38:11.660Z,94,44,,4073,24,,,,,,,,,,
2020-07-10T04:16:29.737Z,94,44,,4114,19,,,,,,,,,,
