Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,15,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,15,<15,,1586,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,15,<15,,1606,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,15,<15,,1642,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,15,<15,,1643,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,15,<15,,1662,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,15,<15,,1680,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,15,<15,,1697,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,15,<15,,1710,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,15,<15,,1709,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,16,<15,,1748,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,18,<15,,1758,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,18,<15,,1760,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,18,<15,,1781,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,20,<15,,1843,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,20,<15,,1843,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,20,<15,,1846,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,20,<15,,1856,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,20,<15,,189,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,20,<15,,159,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,21,<15,,177,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,21,<15,,185,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,21,<15,,161,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,21,<15,,169,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,21,<15,,172,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,22,<15,,149,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,22,<15,,157,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,24,<15,,165,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,24,<15,,146,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,25,<15,,159,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,25,<15,,164,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,25,<15,,151,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,26,<15,,157,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,26,<15,,159,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,28,<15,,140,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,28,<15,,148,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,28,<15,,155,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,28,<15,,129,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,28,<15,,132,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,32,15,,149,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,34,17,,135,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,34,17,,139,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,34,17,18,142,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,34,17,0,139,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,34,17,18,152,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,34,17,18,156,1-5,,,,,,,,,,
