Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-29T19:30:09.437Z,15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,17,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,17,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,18,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,18,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,19,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,20,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,19,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,19,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,19,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,19,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,20,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,20,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,20,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,20,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,20,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,20,15,,688,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,20,15,,690,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,20,15,,697,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,20,15,,701,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,20,15,,720,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,20,15,,725,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,20,15,,736,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,20,15,,747,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,20,15,,750,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,20,15,,779,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,21,16,,793,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,21,16,,796,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,21,16,,796,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,21,16,,800,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,24,18,,810,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,24,18,,810,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,24,18,,817,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,23,17,,818,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,23,17,,825,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,23,17,,825,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,23,17,,827,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,23,15,,836,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,23,<15,,122,<15,,,,,,,,,,
