Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-06T06:40:39.527Z,<15,<15,,839,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,865,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,15,<15,,891,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,17,<15,,932,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,17,<15,,935,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,18,<15,,940,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,21,16,,950,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,21,16,,950,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,21,16,,969,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,21,16,,975,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,24,19,,1001,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,24,19,,1003,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,26,21,,1013,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,28,23,,1019,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,28,23,,160,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,28,23,,147,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,28,23,,173,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,31,26,,183,17,,,,,,,,,,
2020-07-16T07:40:17.937Z,33,28,,170,17,,,,,,,,,,
2020-07-16T15:42:35.290Z,34,29,,186,18,,,,,,,,,,
2020-07-16T19:09:09.317Z,34,29,,197,18,,,,,,,,,,
2020-07-17T07:18:52.977Z,35,30,,186,16,,,,,,,,,,
2020-07-17T15:27:31.690Z,35,30,,205,16,,,,,,,,,,
2020-07-18T19:46:54.420Z,40,33,,224,19,,,,,,,,,,
2020-07-19T07:20:25.537Z,40,32,,218,19,,,,,,,,,,
2020-07-19T15:47:25.010Z,40,32,,227,19,,,,,,,,,,
2020-07-19T19:39:30.623Z,40,32,,230,19,,,,,,,,,,
2020-07-20T07:39:43.380Z,42,34,,214,15,,,,,,,,,,
2020-07-20T16:08:51.117Z,44,36,,220,17,,,,,,,,,,
2020-07-20T19:37:52.507Z,44,36,,226,17,,,,,,,,,,
2020-07-21T07:10:01.260Z,47,39,,214,19,,,,,,,,,,
2020-07-21T15:44:09.447Z,49,41,,227,21,,,,,,,,,,
2020-07-21T19:34:08.533Z,49,41,,232,21,,,,,,,,,,
2020-07-22T07:21:49.913Z,54,46,,203,23,,,,,,,,,,
2020-07-22T16:17:18.653Z,55,46,,213,24,,,,,,,,,,
2020-07-22T19:32:45.860Z,58,49,,220,27,,,,,,,,,,
2020-07-23T07:43:44.770Z,60,51,,189,26,,,,,,,,,,
2020-07-23T15:47:26.380Z,60,50,,193,26,,,,,,,,,,
2020-07-23T19:45:09.340Z,61,50,,210,27,,,,,,,,,,
2020-07-24T07:25:49.703Z,64,52,,199,29,,,,,,,,,,
2020-07-24T14:58:49.413Z,66,54,,209,31,,,,,,,,,,
2020-07-25T16:46:57.223Z,76,64,,199,36,,,,,,,,,,
2020-07-25T19:33:21.280Z,76,64,,200,36,,,,,,,,,,
2020-07-26T07:34:22.503Z,78,66,,195,38,,,,,,,,,,
2020-07-26T16:24:05.187Z,78,66,,203,38,,,,,,,,,,
2020-07-26T19:12:10.287Z,78,66,,206,38,,,,,,,,,,
2020-07-27T07:17:01.273Z,81,69,,189,36,,,,,,,,,,
2020-07-27T16:04:20.010Z,81,68,,201,36,,,,,,,,,,
2020-07-27T19:25:32.007Z,81,68,,204,36,,,,,,,,,,
2020-07-28T04:31:31.657Z,82,68,,198,31,,,,,,,,,,
2020-07-28T07:41:01.270Z,83,69,,204,32,,,,,,,,,,
2020-07-28T08:57:27.217Z,83,69,36,205,32,,,,,,,,,,
2020-07-28T07:41:01.270Z,83,69,0,204,32,,,,,,,,,,
2020-07-28T15:57:37.887Z,84,70,36,220,33,,,,,,,,,,
2020-07-28T19:05:30.067Z,86,72,37,232,35,,,,,,,,,,
2020-07-29T04:22:45.457Z,87,73,38,220,29,,,,,,,,,,
2020-07-29T07:43:55.003Z,87,73,38,233,29,,,,,,,,,,
2020-07-29T15:54:50.897Z,89,75,39,253,32,,,,,,,,,,
2020-07-29T19:47:41.590Z,89,75,39,260,32,,,,,,,,,,
2020-07-30T03:34:45.407Z,90,73,38,230,29,,,,,,,,,,
2020-07-30T07:55:24.147Z,91,74,38,239,30,,,,,,,,,,
2020-07-30T15:43:54.137Z,99,68,35,269,38,,,,,,,,,,
2020-07-30T19:25:51.573Z,104,73,38,283,43,,,,,,,,,,
2020-07-31T03:50:21.007Z,104,74,38,257,35,,,,,,,,,,
