Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-09T07:16:21.100Z,15,<15,,1024,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,15,<15,,1030,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,15,<15,,1039,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,17,<15,,1054,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,17,<15,,1054,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,17,<15,,1060,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,19,<15,,1082,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,19,<15,,1084,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,19,<15,,1092,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,19,<15,,1094,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,21,<15,,160,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,22,<15,,144,<15,,,,,,,,,,
