,Totals,,,,,,,,,,Males,,,,,,,,,,Females,,,,,,,,,
Update Time,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-09-26T19:01:59.350Z,1,2,3,6,18,66,163,350,500,328,0,0,1,5,12,44,108,232,253,131,1,2,2,1,6,22,55,118,247,197
2020-09-27T06:27:46.860Z,1,2,3,6,18,66,164,350,504,332,0,0,1,5,12,44,109,232,254,134,1,2,2,1,6,22,55,118,250,198
2020-09-27T13:38:11.377Z,1,2,3,6,18,68,167,356,508,333,0,0,1,5,12,46,110,237,256,134,1,2,2,1,6,22,57,119,252,199
2020-09-28T16:25:25.447Z,1,2,3,6,18,68,172,369,519,337,0,0,1,5,12,46,112,247,262,137,1,2,2,1,6,22,60,122,257,200
2020-09-28T19:29:29.173Z,1,2,3,6,19,69,173,371,523,337,0,0,1,5,12,46,113,249,264,137,1,2,2,1,7,23,60,122,259,200
2020-09-29T07:31:38.433Z,1,2,3,6,19,70,174,371,528,339,0,0,1,5,12,47,114,249,266,138,1,2,2,1,7,23,60,122,262,201
2020-09-29T15:20:10.623Z,1,2,3,6,19,70,176,373,528,342,0,0,1,5,12,47,115,250,266,140,1,2,2,1,7,23,61,123,262,202
2020-09-29T20:03:10.423Z,1,2,3,6,19,70,176,376,528,344,0,0,1,5,12,47,115,252,266,140,1,2,2,1,7,23,61,124,262,204
2020-09-30T03:41:07.500Z,1,2,3,6,19,70,176,376,528,344,0,0,1,5,12,47,115,252,266,140,1,2,2,1,7,23,61,124,262,204
2020-09-30T06:58:43.690Z,1,2,3,6,19,71,177,381,536,348,0,0,1,5,12,47,115,255,269,142,1,2,2,1,7,24,62,126,267,206
2020-09-30T15:56:55.587Z,1,2,3,6,19,73,178,381,538,348,0,0,1,5,12,47,116,255,269,142,1,2,2,1,7,26,62,126,269,206
2020-09-30T19:17:47.527Z,1,2,3,6,20,73,180,384,546,350,0,0,1,5,13,47,118,257,276,144,1,2,2,1,7,26,62,127,270,206
2020-10-01T04:23:29.923Z,1,2,3,6,20,73,180,384,547,351,0,0,1,5,13,47,118,257,277,145,1,2,2,1,7,26,62,127,270,206
2020-10-01T16:23:41.577Z,1,2,3,6,20,75,182,392,558,357,0,0,1,5,13,48,120,263,285,149,1,2,2,1,7,27,62,129,273,208
2020-10-01T18:59:49.017Z,1,2,3,7,21,75,183,398,564,364,0,0,1,6,14,48,121,267,289,150,1,2,2,1,7,27,62,131,275,214
2020-10-02T04:03:07.877Z,1,2,3,7,21,75,183,398,564,364,0,0,1,6,14,48,121,267,289,150,1,2,2,1,7,27,62,131,275,214
2020-10-02T06:38:41.127Z,1,2,3,7,21,75,184,400,567,365,0,0,1,6,14,48,122,269,291,150,1,2,2,1,7,27,62,131,276,215
2020-10-02T13:42:19.067Z,1,2,3,7,21,75,186,401,567,365,0,0,1,6,14,48,124,270,291,150,1,2,2,1,7,27,62,131,276,215
2020-10-03T15:01:48.953Z,1,2,3,8,22,79,193,414,582,373,0,0,1,7,15,50,130,278,302,152,1,2,2,1,7,29,63,136,280,221
2020-10-03T19:35:04.317Z,1,2,3,8,22,79,193,416,582,374,0,0,1,7,15,50,130,279,302,152,1,2,2,1,7,29,63,137,280,222
2020-10-04T03:23:43.410Z,1,2,3,8,22,79,193,416,582,374,0,0,1,7,15,50,130,279,302,152,1,2,2,1,7,29,63,137,280,222
2020-10-04T06:52:16.170Z,1,2,3,8,22,79,194,420,584,378,0,0,1,7,15,50,131,282,303,154,1,2,2,1,7,29,63,138,281,224
2020-10-04T15:45:12.993Z,1,2,3,8,23,79,196,423,588,383,0,0,1,7,15,50,132,282,306,156,1,2,2,1,8,29,64,141,282,227
