Date,Isolated/Verified Doctors,Isolated/Verified Nurses,Isolated/Verified others
2021-10-31T15:02:09.287Z,12,23,44
2021-11-01T19:22:39.840Z,7,17,23
2022-01-10T11:44:53.803Z,542,1008,2193
2022-01-11T15:11:33.130Z,690,1282,2925
2022-01-12T14:34:11.110Z,767,1504,3386
2022-01-13T15:52:24.780Z,923,1774,4025
2022-01-16T13:26:38.773Z,1008,2190,4518
2022-01-19T20:03:54.620Z,1260,2740,5306
2022-01-20T17:09:04.517Z,1379,2916,5572
2022-01-24T06:17:25.833Z,1150,2675,4515
2022-01-24T10:59:17.433Z,1150,2675,4515
2022-01-24T15:55:53.337Z,1225,2725,4730
2022-01-25T16:54:26.083Z,1107,2592,4373
2022-01-26T14:15:29.457Z,1213,2574,4733
2022-01-27T14:37:38.053Z,1282,2793,5747
2022-01-27T20:44:42.977Z,1282,2793,4747
2022-01-30T16:55:47.683Z,1078,2493,4005
2022-01-31T16:50:39.113Z,981,2422,3767
2022-02-01T15:48:45.390Z,914,2199,3531
2022-02-03T08:42:05.940Z,890,1948,3296
2022-02-04T06:51:26.093Z,913,1961,3351
2022-02-06T17:03:42.203Z,787,1629,2729
2022-02-07T16:00:28.133Z,665,1383,2262
2022-02-08T15:50:31.423Z,720,1473,2435
2022-02-09T14:06:54.623Z,626,1373,2265
2022-02-10T14:33:42.613Z,651,1347,2177
