,All ages - Daily verified,,,All ages - Total serious,,,All ages - New serious,,,All ages - Total deaths,,,Above 60 - Daily verified,,,Above 60 - Total serious,,,Above 60 - New serious,,,Above 60 - Total deaths,,,Below 60 - Daily verified,,,Below 60 - Total serious,,,Below 60 - New serious,,,Below 60 - Total deaths,,
Date,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated
2021-01-20T00:00:00.000Z,0,17,7161,0,3,767,0,1,93,0,0,36,0,9,325,0,1,542,0,1,63,0,0,34,0,8,6784,0,2,225,0,0,30,0,0,2
2021-01-21T00:00:00.000Z,0,25,6261,0,6,740,0,3,92,0,0,31,0,10,297,0,3,512,0,2,54,0,0,29,0,15,5917,0,3,228,0,1,38,0,0,2
2021-01-22T00:00:00.000Z,0,25,6319,0,7,727,0,1,83,0,0,39,0,17,253,0,4,493,0,1,49,0,0,37,0,7,6034,0,3,234,0,0,34,0,0,2
2021-01-23T00:00:00.000Z,0,12,2011,0,8,737,0,2,76,0,0,30,0,7,122,0,5,494,0,2,46,0,0,26,0,5,1873,0,3,243,0,0,30,0,0,4
2021-01-24T00:00:00.000Z,0,29,4098,0,9,744,0,2,89,0,3,35,0,21,194,0,5,490,0,2,49,0,3,31,0,8,3862,0,4,254,0,0,40,0,0,4
2021-01-25T00:00:00.000Z,0,72,7404,0,8,720,0,1,109,0,1,39,0,49,323,0,4,482,0,1,72,0,1,35,0,23,7040,0,4,237,0,0,36,0,0,4
2021-01-26T00:00:00.000Z,0,95,6597,0,9,734,0,3,99,0,2,30,0,65,298,0,6,474,0,3,50,0,1,26,0,30,6247,0,3,259,0,0,49,0,1,4
2021-01-27T00:00:00.000Z,0,117,6441,0,11,732,0,2,91,0,1,33,0,75,262,0,7,464,0,1,53,0,1,31,0,42,6082,0,4,267,0,1,38,0,0,2
2021-01-28T00:00:00.000Z,0,173,5867,0,14,746,0,5,98,0,3,28,0,119,273,0,10,468,0,4,53,0,2,27,0,54,5552,0,4,278,0,1,45,0,1,1
2021-01-29T00:00:00.000Z,0,131,5557,0,17,729,0,6,77,0,1,30,0,91,204,0,13,450,0,6,45,0,1,26,0,40,5321,0,4,279,0,0,32,0,0,4
2021-01-30T00:00:00.000Z,0,37,2140,0,27,725,0,11,60,0,3,17,0,26,113,0,22,447,0,10,33,0,3,12,0,11,2012,0,5,278,0,1,27,0,0,5
2021-01-31T00:00:00.000Z,0,104,4114,0,33,729,0,8,89,0,12,23,0,59,157,0,28,436,0,8,46,0,12,22,0,45,3934,0,5,293,0,0,43,0,0,1
2021-02-01T00:00:00.000Z,0,217,7262,0,44,724,0,14,91,0,4,20,0,129,284,0,38,449,0,13,65,0,4,19,0,86,6937,0,6,274,0,1,25,0,0,1
2021-02-02T00:00:00.000Z,0,226,6532,0,50,705,0,15,90,0,8,34,0,132,287,0,43,427,0,13,44,0,8,29,0,93,6202,0,7,276,0,2,45,0,0,5
2021-02-03T00:00:00.000Z,0,177,6081,0,53,733,0,17,117,0,10,26,0,90,232,0,47,440,0,17,63,0,10,21,0,87,5785,0,6,292,0,0,54,0,0,5
2021-02-04T00:00:00.000Z,0,196,5978,0,67,732,0,23,97,0,7,24,0,120,253,0,61,435,0,22,52,0,7,23,0,76,5679,0,6,296,0,1,45,0,0,1
2021-02-05T00:00:00.000Z,0,168,5343,0,65,744,0,13,93,0,7,17,0,92,238,0,58,427,0,12,45,0,7,16,0,75,5072,0,7,316,0,1,48,0,0,1
2021-02-06T00:00:00.000Z,0,66,2145,0,64,768,0,9,79,0,9,27,0,34,133,0,56,447,0,8,49,0,9,25,0,32,2002,0,8,320,0,1,30,0,0,2
2021-02-07T00:00:00.000Z,0,138,3624,0,67,787,0,13,100,0,7,26,0,71,159,0,59,456,0,11,57,0,7,23,0,65,3450,0,8,330,0,2,43,0,0,3
2021-02-08T00:00:00.000Z,0,177,6474,0,75,768,0,17,106,0,6,20,0,108,285,0,65,448,0,14,66,0,6,15,0,69,6155,0,10,318,0,3,39,0,0,5
2021-02-09T00:00:00.000Z,0,148,5075,0,71,743,0,9,83,0,5,26,0,81,240,0,62,426,0,9,41,0,4,22,0,66,4801,0,9,314,0,0,41,0,1,4
2021-02-10T00:00:00.000Z,0,108,4720,0,67,751,0,10,110,0,9,12,0,55,214,0,59,435,0,10,59,0,9,10,0,53,4469,0,8,313,0,0,51,0,0,2
2021-02-11T00:00:00.000Z,0,92,4221,0,59,733,0,8,84,0,8,17,0,47,206,0,52,407,0,8,37,0,8,16,0,45,3988,0,7,324,0,0,46,0,0,1
2021-02-12T00:00:00.000Z,0,91,3872,0,53,706,0,6,62,0,10,21,0,40,179,0,47,397,0,6,42,0,10,17,0,51,3665,0,6,308,0,0,20,0,0,4
2021-02-13T00:00:00.000Z,0,29,1577,0,45,717,0,2,96,0,4,20,0,15,72,0,39,404,0,1,54,0,4,17,0,14,1494,0,6,312,0,1,42,0,0,3
2021-02-14T00:00:00.000Z,0,69,2822,0,53,744,0,14,102,0,3,24,0,33,128,0,47,412,0,13,53,0,3,20,0,35,2675,0,6,330,0,1,48,0,0,4
2021-02-15T00:00:00.000Z,0,99,4345,0,58,739,0,9,101,0,1,13,0,33,215,0,50,413,0,7,57,0,1,12,0,66,4101,0,8,324,0,2,44,0,0,1
2021-02-16T00:00:00.000Z,0,81,3775,0,52,706,0,5,73,0,9,26,0,43,165,0,46,386,0,5,37,0,9,22,0,38,3585,0,6,319,0,0,36,0,0,4
2021-02-17T00:00:00.000Z,0,101,3407,0,51,710,0,10,75,0,3,20,0,42,150,0,44,381,0,8,38,0,3,18,0,59,3218,0,7,328,0,2,37,0,0,2
2021-02-18T00:00:00.000Z,0,74,2741,0,48,674,0,6,63,0,5,19,0,36,111,0,40,359,0,5,31,0,5,18,0,38,2588,0,8,314,0,1,32,0,0,1
2021-02-19T00:00:00.000Z,0,75,3083,0,44,629,0,6,47,0,4,13,0,29,143,0,36,336,0,5,25,0,4,10,0,46,2917,0,8,292,0,1,22,0,0,3
2021-02-20T00:00:00.000Z,0,24,1016,0,43,630,0,6,55,0,2,16,0,14,47,0,33,320,0,4,16,0,2,12,0,10,961,0,10,309,0,2,39,0,0,4
2021-02-21T00:00:00.000Z,0,75,2438,0,45,625,0,9,66,0,4,16,0,22,131,0,36,315,0,7,33,0,3,14,0,53,2293,0,9,309,0,2,33,0,1,2
2021-02-22T00:00:00.000Z,0,112,3917,0,42,630,0,8,90,0,1,13,0,47,187,0,35,322,0,7,44,0,1,6,0,65,3691,0,7,307,0,1,46,0,0,7
2021-02-23T00:00:00.000Z,0,107,3526,0,41,612,0,7,79,0,3,26,0,37,167,0,34,310,0,6,37,0,2,23,0,70,3333,0,7,302,0,1,42,0,1,3
2021-02-24T00:00:00.000Z,0,109,3433,0,40,604,0,5,78,0,0,20,0,47,138,0,33,302,0,4,38,0,0,16,0,62,3262,0,7,302,0,1,40,0,0,4
2021-02-25T00:00:00.000Z,0,102,2940,0,37,591,0,6,81,0,5,14,0,31,137,0,30,298,0,6,45,0,5,10,0,71,2779,0,7,293,0,0,36,0,0,4
2021-02-26T00:00:00.000Z,0,94,2907,0,38,579,0,5,66,0,2,15,0,27,118,0,31,285,0,5,32,0,2,12,0,67,2767,0,7,294,0,0,34,0,0,3
2021-02-27T00:00:00.000Z,0,60,1059,0,45,568,0,10,49,0,5,22,0,27,40,0,38,283,0,10,27,0,5,15,0,33,1003,0,7,284,0,0,21,0,0,7
2021-02-28T00:00:00.000Z,0,105,2231,0,47,571,0,4,68,0,4,14,0,30,101,0,40,286,0,4,36,0,4,12,0,75,2117,0,7,285,0,0,32,0,0,2
2021-03-01T00:00:00.000Z,0,137,3712,0,45,562,0,5,88,0,3,12,0,50,155,0,37,287,0,3,46,0,3,8,0,87,3516,0,8,274,0,2,41,0,0,4
2021-03-02T00:00:00.000Z,0,140,3310,0,41,536,0,7,64,0,2,18,0,40,132,0,35,278,0,7,36,0,2,11,0,100,3135,0,6,257,0,0,28,0,0,7
2021-03-03T00:00:00.000Z,0,152,3478,0,43,539,0,9,73,0,3,12,0,53,120,0,35,290,0,6,45,0,3,10,0,99,3319,0,8,249,0,3,28,0,0,2
2021-03-04T00:00:00.000Z,0,141,2751,0,48,528,0,8,61,0,0,11,0,55,86,0,38,283,0,6,32,0,0,10,0,86,2650,0,10,245,0,2,29,0,0,1
2021-03-05T00:00:00.000Z,0,114,2887,0,47,498,0,6,57,0,2,14,0,43,95,0,38,266,0,5,27,0,2,12,0,71,2782,0,9,232,0,1,30,0,0,2
2021-03-06T00:00:00.000Z,0,83,1400,0,53,517,0,9,72,0,1,13,0,26,63,0,45,275,0,9,38,0,1,11,0,57,1331,0,8,242,0,0,34,0,0,2
2021-03-07T00:00:00.000Z,0,93,1758,0,54,537,0,5,57,0,4,8,0,26,72,0,46,284,0,4,22,0,4,5,0,67,1667,0,8,253,0,1,35,0,0,3
2021-03-08T00:00:00.000Z,0,139,2929,0,55,514,0,7,69,0,2,15,0,59,113,0,46,264,0,6,32,0,2,13,0,80,2783,0,9,250,0,1,37,0,0,2
2021-03-09T00:00:00.000Z,0,134,2429,0,55,497,0,5,36,0,1,11,0,47,92,0,46,253,0,5,16,0,1,9,0,87,2308,0,9,244,0,0,20,0,0,2
2021-03-10T00:00:00.000Z,0,130,2232,0,54,485,0,6,58,0,0,14,0,30,74,0,46,254,0,6,31,0,0,10,0,100,2139,0,8,231,0,0,27,0,0,4
2021-03-11T00:00:00.000Z,0,123,1998,0,50,475,0,4,49,0,2,14,0,42,72,0,43,245,0,4,25,0,2,12,0,81,1909,0,7,230,0,0,24,0,0,2
2021-03-12T00:00:00.000Z,0,98,1912,0,53,452,0,9,45,0,0,9,0,26,87,0,43,230,0,5,22,0,0,8,0,72,1805,0,10,222,0,4,23,0,0,1
2021-03-13T00:00:00.000Z,0,39,615,0,53,448,0,5,38,0,3,9,0,12,28,0,43,229,0,4,16,0,3,5,0,27,579,0,10,219,0,1,22,0,0,4
2021-03-14T00:00:00.000Z,0,71,1103,0,52,465,0,4,62,0,3,19,0,23,54,0,43,229,0,4,28,0,3,16,0,48,1042,0,9,236,0,0,34,0,0,3
2021-03-15T00:00:00.000Z,0,96,1710,0,55,429,0,9,38,0,3,10,0,29,69,0,45,216,0,7,20,0,2,9,0,67,1621,0,10,213,0,2,18,0,1,1
2021-03-16T00:00:00.000Z,0,71,1271,0,50,432,0,4,48,0,1,11,0,18,69,0,42,213,0,4,19,0,1,5,0,52,1190,0,8,219,0,0,29,0,0,6
2021-03-17T00:00:00.000Z,0,97,1215,0,51,409,0,4,35,0,1,7,0,24,57,0,45,200,0,4,14,0,0,6,0,72,1150,0,6,209,0,0,21,0,1,1
2021-03-18T00:00:00.000Z,0,67,1008,0,52,418,0,9,46,0,0,6,0,22,48,0,45,208,0,7,20,0,0,5,0,45,947,0,7,210,0,2,26,0,0,1
2021-03-19T00:00:00.000Z,0,56,887,0,50,404,0,4,32,0,4,8,0,17,38,0,44,204,0,3,15,0,4,7,0,39,843,0,6,200,0,1,17,0,0,1
2021-03-20T00:00:00.000Z,0,24,277,0,49,394,0,3,32,0,1,5,0,10,33,0,41,205,0,1,17,0,1,5,0,13,238,0,8,189,0,2,15,0,0,0
