,All ages - Total population,,,,All ages - Daily verified,,,,All ages - Total serious,,,,All ages - New serious,,,,All ages - Total deaths,,,,Above 60 - Total population,,,,Above 60 - Daily verified,,,,Above 60 - Total serious,,,,Above 60 - New serious,,,,Above 60 - Total deaths,,,,Below 60 - Total population,,,,Below 60 - Daily verified,,,,Below 60 - Total serious,,,,Below 60 - New serious,,,,Below 60 - Total deaths,,,
Date,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated
2020-12-21T00:00:00.000Z,None,0,32324,9259416,None,0,0,3856,None,0,0,485,None,None,None,None,None,None,None,None,None,0,14373,1414851,None,0,0,435,None,0,0,373,None,None,None,None,None,None,None,None,None,0,17951,7844565,None,0,0,3369,None,0,0,112,None,None,None,None,None,None,None,None
2020-12-22T00:00:00.000Z,None,0,76945,9214795,None,0,9,4372,None,0,0,509,None,None,None,None,None,None,None,None,None,0,42924,1386300,None,0,0,479,None,0,0,396,None,None,None,None,None,None,None,None,None,0,34014,7828502,None,0,9,3857,None,0,0,113,None,None,None,None,None,None,None,None
2020-12-23T00:00:00.000Z,None,0,139792,9151948,None,0,19,4017,None,0,0,507,None,None,None,None,None,None,None,None,None,0,86995,1342229,None,0,4,486,None,0,0,383,None,None,None,None,None,None,None,None,None,0,52775,7809741,None,0,15,3507,None,0,0,124,None,None,None,None,None,None,None,None
2020-12-24T00:00:00.000Z,None,0,213135,9078605,None,0,34,4020,None,0,0,524,None,None,None,None,None,None,None,None,None,0,140794,1288430,None,0,9,475,None,0,0,396,None,None,None,None,None,None,None,None,None,0,72318,7790198,None,0,25,3524,None,0,0,128,None,None,None,None,None,None,None,None
2020-12-25T00:00:00.000Z,None,0,251597,9040143,None,0,34,3978,None,0,0,551,None,None,None,None,None,None,None,None,None,0,170426,1258798,None,0,13,424,None,0,0,408,None,None,None,None,None,None,None,None,None,0,81139,7781377,None,0,21,3539,None,0,0,143,None,None,None,None,None,None,None,None
2020-12-26T00:00:00.000Z,None,0,284179,9007561,None,0,36,2623,None,0,0,574,None,None,None,None,None,None,None,None,None,0,196125,1233099,None,0,12,354,None,0,0,421,None,None,None,None,None,None,None,None,None,0,88022,7774494,None,0,24,2259,None,0,0,153,None,None,None,None,None,None,None,None
2020-12-27T00:00:00.000Z,None,2,388589,8903149,None,0,77,3451,None,0,0,610,None,None,None,None,None,None,None,None,None,0,268182,1161042,None,0,20,398,None,0,0,442,None,None,None,None,None,None,None,None,None,2,120326,7742188,None,0,56,3028,None,0,0,168,None,None,None,None,None,None,None,None
2020-12-28T00:00:00.000Z,None,3,523448,8768289,None,0,115,5404,None,0,1,610,None,None,None,None,None,None,None,None,None,0,352520,1076704,None,0,47,553,None,0,1,444,None,None,None,None,None,None,None,None,None,3,170810,7691703,None,0,68,4806,None,0,0,166,None,None,None,None,None,None,None,None
2020-12-29T00:00:00.000Z,None,9,679489,8612242,None,0,164,5475,None,0,2,631,None,None,None,None,None,None,None,None,None,0,447708,981516,None,0,64,512,None,0,2,464,None,None,None,None,None,None,None,None,None,9,231615,7630892,None,0,100,4926,None,0,0,167,None,None,None,None,None,None,None,None
