,All ages - Total population,,,,All ages - Daily verified,,,,All ages - Total serious,,,,All ages - New serious,,,,All ages - Total deaths,,,,Above 60 - Total population,,,,Above 60 - Daily verified,,,,Above 60 - Total serious,,,,Above 60 - New serious,,,,Above 60 - Total deaths,,,,Below 60 - Total population,,,,Below 60 - Daily verified,,,,Below 60 - Total serious,,,,Below 60 - New serious,,,,Below 60 - Total deaths,,,
Date,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Partially vaccinated,Not vaccinated
2020-12-21T00:00:00.000Z,None,0,32324,9259416,None,0,0.0,41.6440950488,None,0,0.0,5.23791133264,None,None,None,None,None,None,None,None,None,0,14373,1414851,None,0,0.0,30.7452869595,None,0,0.0,26.3632000826,None,None,None,None,None,None,None,None,None,0,17951,7844565,None,0,0.0,42.9469320479,None,0,0.0,1.42774009776,None,None,None,None,None,None,None,None
2020-12-22T00:00:00.000Z,None,0,76945,9214795,None,0,11.6966664501,47.4454396435,None,0,0.0,5.52372570415,None,None,None,None,None,None,None,None,None,0,42924,1386300,None,0,0.0,34.5524056842,None,0,0.0,28.5652456178,None,None,None,None,None,None,None,None,None,0,34014,7828502,None,0,26.4596930676,49.2686851201,None,0,0.0,1.44344345828,None,None,None,None,None,None,None,None
2020-12-23T00:00:00.000Z,None,0,139792,9151948,None,0,13.5916218382,43.8922948426,None,0,0.0,5.53980420343,None,None,None,None,None,None,None,None,None,0,86995,1342229,None,0,4.59796540031,36.208426431,None,0,0.0,28.5346241215,None,None,None,None,None,None,None,None,None,0,52775,7809741,None,0,28.4225485552,44.9054584525,None,0,0.0,1.58776072087,None,None,None,None,None,None,None,None
2020-12-24T00:00:00.000Z,None,0,213135,9078605,None,0,15.9523306824,44.2799306722,None,0,0.0,5.77181185876,None,None,None,None,None,None,None,None,None,0,140794,1288430,None,0,6.39231785445,36.8665740475,None,0,0.0,30.7350806796,None,None,None,None,None,None,None,None,None,0,72318,7790198,None,0,34.5695400868,45.2363341728,None,0,0.0,1.64309045803,None,None,None,None,None,None,None,None
2020-12-25T00:00:00.000Z,None,0,251597,9040143,None,0,13.5136746464,44.0037287021,None,0,0.0,6.09503632852,None,None,None,None,None,None,None,None,None,0,170426,1258798,None,0,7.62794409304,33.682926093,None,0,0.0,32.4118722782,None,None,None,None,None,None,None,None,None,0,81139,7781377,None,0,25.8815119733,45.4803821997,None,0,0.0,1.83772101005,None,None,None,None,None,None,None,None
2020-12-26T00:00:00.000Z,None,0,284179,9007561,None,0,12.6680718843,29.1199804253,None,0,0.0,6.37242423337,None,None,None,None,None,None,None,None,None,0,196125,1233099,None,0,6.11854684512,28.7081572526,None,0,0.0,34.1416220433,None,None,None,None,None,None,None,None,None,0,88022,7774494,None,0,27.265910795,29.0565533911,None,0,0.0,1.96797373565,None,None,None,None,None,None,None,None
2020-12-27T00:00:00.000Z,None,2,388589,8903149,None,0.0,19.815280412,38.7615662728,None,0.0,0.0,6.85150838203,None,None,None,None,None,None,None,None,None,0,268182,1161042,None,0,7.45762206263,34.2795523332,None,0,0.0,38.0692515861,None,None,None,None,None,None,None,None,None,2,120326,7742188,None,0.0,46.5402323687,39.1103910161,None,0.0,0.0,2.16992922414,None,None,None,None,None,None,None,None
2020-12-28T00:00:00.000Z,None,3,523448,8768289,None,0.0,21.9697085479,61.6311802679,None,0.0,0.191040943895,6.95688748398,None,None,None,None,None,None,None,None,None,0,352520,1076704,None,0,13.3325768751,51.3604481826,None,0,0.283671848406,41.2369602045,None,None,None,None,None,None,None,None,None,3,170810,7691703,None,0.0,39.8103155553,62.4829117817,None,0.0,0.0,2.15816965372,None,None,None,None,None,None,None,None
2020-12-29T00:00:00.000Z,None,9,679489,8612242,None,0.0,24.1357843909,63.5722962731,None,0.0,0.294338834036,7.32677971659,None,None,None,None,None,None,None,None,None,0,447708,981516,None,0,14.2950315831,52.1642031307,None,0,0.446719736971,47.2738090872,None,None,None,None,None,None,None,None,None,9,231615,7630892,None,0.0,43.1750966043,64.553396903,None,0.0,0.0,2.18847285481,None,None,None,None,None,None,None,None
