,All ages - booster vaccinated,,,,,All ages - fully vaccinated,,,,,All ages - partially vaccinated,,,,,All ages - not vaccinated,,,,,Above 60 - booster vaccinated,,,,,Above 60 - fully vaccinated,,,,,Above 60 - partially vaccinated,,,,,Above 60 - not vaccinated,,,,,Below 60 - booster vaccinated,,,,,Below 60 - fully vaccinated,,,,,Below 60 - partially vaccinated,,,,,Below 60 - not vaccinated,,
Date,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths,Total Amount,Daily verified,Total serious,New serious,Total deaths
2020-12-21T00:00:00.000Z,None,None,None,None,None,0,0,0,None,None,32324,0,0,None,None,9259416,3856,485,None,None,None,None,None,None,None,0,0,0,None,None,14373,0,0,None,None,1414851,435,373,None,None,None,None,None,None,None,0,0,0,None,None,17951,0,0,None,None,7844565,3369,112,None,None
2020-12-22T00:00:00.000Z,None,None,None,None,None,0,0,0,None,None,76945,9,0,None,None,9214795,4372,509,None,None,None,None,None,None,None,0,0,0,None,None,42924,0,0,None,None,1386300,479,396,None,None,None,None,None,None,None,0,0,0,None,None,34014,9,0,None,None,7828502,3857,113,None,None
2020-12-23T00:00:00.000Z,None,None,None,None,None,0,0,0,None,None,139792,19,0,None,None,9151948,4017,507,None,None,None,None,None,None,None,0,0,0,None,None,86995,4,0,None,None,1342229,486,383,None,None,None,None,None,None,None,0,0,0,None,None,52775,15,0,None,None,7809741,3507,124,None,None
2020-12-24T00:00:00.000Z,None,None,None,None,None,0,0,0,None,None,213135,34,0,None,None,9078605,4020,524,None,None,None,None,None,None,None,0,0,0,None,None,140794,9,0,None,None,1288430,475,396,None,None,None,None,None,None,None,0,0,0,None,None,72318,25,0,None,None,7790198,3524,128,None,None
2020-12-25T00:00:00.000Z,None,None,None,None,None,0,0,0,None,None,251597,34,0,None,None,9040143,3978,551,None,None,None,None,None,None,None,0,0,0,None,None,170426,13,0,None,None,1258798,424,408,None,None,None,None,None,None,None,0,0,0,None,None,81139,21,0,None,None,7781377,3539,143,None,None
2020-12-26T00:00:00.000Z,None,None,None,None,None,0,0,0,None,None,284179,36,0,None,None,9007561,2623,574,None,None,None,None,None,None,None,0,0,0,None,None,196125,12,0,None,None,1233099,354,421,None,None,None,None,None,None,None,0,0,0,None,None,88022,24,0,None,None,7774494,2259,153,None,None
2020-12-27T00:00:00.000Z,None,None,None,None,None,2,0,0,None,None,388589,77,0,None,None,8903149,3451,610,None,None,None,None,None,None,None,0,0,0,None,None,268182,20,0,None,None,1161042,398,442,None,None,None,None,None,None,None,2,0,0,None,None,120326,56,0,None,None,7742188,3028,168,None,None
2020-12-28T00:00:00.000Z,None,None,None,None,None,3,0,0,None,None,523448,115,1,None,None,8768289,5404,610,None,None,None,None,None,None,None,0,0,0,None,None,352520,47,1,None,None,1076704,553,444,None,None,None,None,None,None,None,3,0,0,None,None,170810,68,0,None,None,7691703,4806,166,None,None
2020-12-29T00:00:00.000Z,None,None,None,None,None,9,0,0,None,None,679489,164,2,None,None,8612242,5475,631,None,None,None,None,None,None,None,0,0,0,None,None,447708,64,2,None,None,981516,512,464,None,None,None,None,None,None,None,9,0,0,None,None,231615,100,0,None,None,7630892,4926,167,None,None
2020-12-30T00:00:00.000Z,None,None,None,None,None,29,0,0,None,None,832286,288,9,None,None,8459425,5579,650,None,None,None,None,None,None,None,5,0,0,None,None,536420,113,8,None,None,892799,473,478,None,None,None,None,None,None,None,24,0,0,None,None,295668,174,1,None,None,7566824,5081,172,None,None
2020-12-31T00:00:00.000Z,None,None,None,None,None,44,0,0,None,None,990553,352,9,None,None,8301143,5523,692,None,None,None,None,None,None,None,12,0,0,None,None,617443,146,7,None,None,811769,438,516,None,None,None,None,None,None,None,32,0,0,None,None,372875,206,2,None,None,7489609,5022,176,None,None
2021-01-01T00:00:00.000Z,None,None,None,None,None,51,0,0,None,None,1061814,426,19,None,None,8229875,5595,709,None,None,None,None,None,None,None,17,0,0,None,None,652331,192,17,None,None,776876,444,523,None,None,None,None,None,None,None,34,0,0,None,None,409239,234,2,None,None,7453243,5106,186,None,None
2021-01-02T00:00:00.000Z,None,None,None,None,None,53,0,0,None,None,1133448,344,25,None,None,8158239,3875,714,None,None,None,None,None,None,None,18,0,0,None,None,681880,164,23,None,None,747326,303,533,None,None,None,None,None,None,None,35,0,0,None,None,451308,180,2,None,None,7411173,3553,181,None,None
2021-01-03T00:00:00.000Z,None,None,None,None,None,87,0,0,None,None,1282882,554,36,None,None,8008771,4676,756,None,None,None,None,None,None,None,30,0,0,None,None,753479,242,33,None,None,675715,342,574,None,None,None,None,None,None,None,57,0,0,None,None,529135,311,3,None,None,7333324,4301,182,None,None
