Date,5-11 1st perc,5-11 2nd perc,5-11 3rd perc,5-11 4th perc,5-11 not vacc perc,5-11 valid vacc perc,5-11 expired vacc perc,12-15 1st perc,12-15 2nd perc,12-15 3rd perc,12-15 4th perc,12-15 not vacc perc,12-15 valid vacc perc,12-15 expired vacc perc,16-19 1st perc,16-19 2nd perc,16-19 3rd perc,16-19 4th perc,16-19 not vacc perc,16-19 valid vacc perc,16-19 expired vacc perc,20-29 1st perc,20-29 2nd perc,20-29 3rd perc,20-29 4th perc,20-29 not vacc perc,20-29 valid vacc perc,20-29 expired vacc perc,30-39 1st perc,30-39 2nd perc,30-39 3rd perc,30-39 4th perc,30-39 not vacc perc,30-39 valid vacc perc,30-39 expired vacc perc,40-49 1st perc,40-49 2nd perc,40-49 3rd perc,40-49 4th perc,40-49 not vacc perc,40-49 valid vacc perc,40-49 expired vacc perc,50-59 1st perc,50-59 2nd perc,50-59 3rd perc,50-59 4th perc,50-59 not vacc perc,50-59 valid vacc perc,50-59 expired vacc perc,60-69 1st perc,60-69 2nd perc,60-69 3rd perc,60-69 4th perc,60-69 not vacc perc,60-69 valid vacc perc,60-69 expired vacc perc,70-79 1st perc,70-79 2nd perc,70-79 3rd perc,70-79 4th perc,70-79 not vacc perc,70-79 valid vacc perc,70-79 expired vacc perc,80-89 1st perc,80-89 2nd perc,80-89 3rd perc,80-89 4th perc,80-89 not vacc perc,80-89 valid vacc perc,80-89 expired vacc perc,90+ 1st perc,90+ 2nd perc,90+ 3rd perc,90+ 4th perc,90+ not vacc perc,90+ valid vacc perc,90+ expired vacc perc
2022-01-25T10:24:49.240Z,24.6,14.8,0,0,81.05,18.95,0,65.3,53.5,13.2,0,39.61,59.19,1.19,89.2,77.8,44.7,0,19.92,69.23,10.85,85.5,76.5,53.8,0.3,14.37,71.52,14.11,88.9,81.6,58.9,0.8,11.52,74.56,13.92,90.4,84.3,66.2,1.2,9.67,79.6,10.73,91,86,72.4,2,7.99,83.24,8.77,92.7,89.6,79.8,26.3,7.26,86.94,5.8,90.8,89.2,85.6,43.6,5.36,90.1,4.54,90.8,88.9,83,45.6,5.74,87.69,6.57,84.3,81.5,75.4,43.4,6.7,80.83,12.48
2022-01-25T16:54:26.083Z,24.6,14.8,0,0,80.89,19.11,0,65.3,53.5,13.2,0,39.58,59.26,1.15,89.2,77.8,44.8,0,19.91,69.34,10.75,85.5,76.5,53.8,0.3,14.37,71.57,14.06,88.9,81.6,58.9,0.8,11.51,74.66,13.82,90.4,84.3,66.3,1.2,9.66,79.75,10.59,91,86,72.5,2,7.98,83.31,8.7,92.7,89.6,79.9,26.4,7.26,86.98,5.76,90.8,89.2,85.6,43.9,5.36,90.13,4.5,90.8,88.9,83,45.9,5.74,87.73,6.53,84.3,81.5,75.4,43.6,6.69,80.89,12.43
2022-01-25T19:31:11.993Z,24.6,15,0,0,80.7,19.3,0,65.3,53.6,13.3,0,39.58,59.28,1.14,89.2,77.8,44.8,0,19.91,69.38,10.72,85.5,76.6,53.8,0.3,14.36,71.62,14.02,88.9,81.6,58.9,0.8,11.51,74.69,13.8,90.4,84.3,66.3,1.2,9.66,79.76,10.58,91,86,72.5,2,7.98,83.32,8.69,92.7,89.6,79.9,26.6,7.26,86.99,5.75,90.8,89.2,85.6,44.1,5.36,90.15,4.49,90.8,88.9,83,46.1,5.73,87.74,6.52,84.3,81.5,75.4,43.9,6.68,80.9,12.42
2022-01-26T06:27:31.903Z,24.6,15,0,0,80.35,19.64,0,65.3,53.6,13.3,0,39.58,58.97,1.45,89.2,77.8,44.8,0,19.89,69.3,10.81,85.5,76.6,53.8,0.3,14.36,71.61,14.03,88.9,81.6,58.9,0.8,11.5,74.69,13.81,90.4,84.3,66.3,1.2,9.66,79.75,10.59,91,86,72.5,2,7.97,83.32,8.7,92.7,89.6,79.9,26.6,7.25,86.99,5.75,90.8,89.2,85.6,44.1,5.34,90.16,4.49,90.8,88.9,83,46.1,5.72,87.76,6.52,84.3,81.5,75.4,43.9,6.62,80.96,12.42
2022-01-26T14:15:29.457Z,24.6,15.1,0,0,80.35,19.64,0,65.3,53.6,13.3,0,39.58,58.97,1.45,89.2,77.8,44.8,0,19.89,69.31,10.8,85.5,76.6,53.8,0.3,14.36,71.62,14.03,88.9,81.6,58.9,0.8,11.5,74.69,13.81,90.4,84.3,66.3,1.2,9.66,79.75,10.59,91,86,72.5,2,7.97,83.33,8.7,92.7,89.6,79.9,26.7,7.25,87,5.75,90.8,89.2,85.6,44.3,5.34,90.16,4.49,90.8,88.9,83,46.3,5.72,87.76,6.52,84.3,81.5,75.4,44.1,6.62,80.96,12.42
2022-01-26T18:44:27.830Z,24.6,15.2,0,0,80.33,19.67,0,65.3,53.6,13.3,0,39.54,59.06,1.4,89.2,77.8,44.8,0,19.88,69.54,10.58,85.5,76.6,53.8,0.3,14.35,71.92,13.74,88.9,81.6,59,0.8,11.5,74.91,13.6,90.4,84.3,66.3,1.2,9.66,79.8,10.54,91,86,72.5,2.1,7.97,83.36,8.67,92.7,89.6,79.9,26.8,7.25,87.01,5.74,90.8,89.2,85.6,44.4,5.34,90.17,4.49,90.8,88.9,83,46.4,5.71,87.77,6.52,84.3,81.5,75.5,44.1,6.62,80.97,12.4
2022-01-27T14:37:38.053Z,24.7,15.3,0,0,79.92,20.07,0,65.3,53.6,13.3,0,39.51,58.79,1.7,89.2,77.8,44.9,0,19.89,69.61,10.51,85.5,76.6,53.8,0.3,14.34,72.08,13.59,88.9,81.6,59,0.8,11.49,75.07,13.44,90.5,84.3,66.3,1.2,9.65,79.92,10.44,91,86,72.5,2.1,7.96,83.44,8.61,92.7,89.6,79.9,27.1,7.25,87.04,5.71,90.8,89.2,85.6,44.7,5.32,90.2,4.48,90.8,88.9,83,46.7,5.69,87.79,6.51,84.3,81.5,75.5,44.4,6.57,81.03,12.4
2022-01-27T20:44:42.977Z,24.7,15.6,0,0,79.78,20.22,0,65.3,53.7,13.5,0,39.49,58.86,1.65,89.2,77.8,44.9,0,19.88,69.66,10.46,85.5,76.6,53.9,0.3,14.33,72.11,13.56,88.9,81.6,59,0.8,11.48,75.1,13.42,90.5,84.3,66.3,1.2,9.64,79.94,10.42,91,86.1,72.5,2.1,7.95,83.45,8.59,92.7,89.6,79.9,27.1,7.25,87.05,5.7,90.8,89.2,85.6,44.8,5.31,90.21,4.47,90.8,88.9,83.1,46.8,5.69,87.81,6.5,84.3,81.5,75.5,44.5,6.56,81.06,12.38
2022-01-28T06:38:01.947Z,24.7,15.7,0,0,79.54,20.45,0,65.3,53.7,13.5,0,39.48,58.52,2,89.2,77.8,45,0,19.9,69.59,10.51,85.5,76.6,53.9,0.3,14.32,72.16,13.52,88.9,81.6,59,0.8,11.48,75.13,13.39,90.5,84.3,66.3,1.2,9.64,79.98,10.39,91,86.1,72.5,2.2,7.95,83.48,8.58,92.7,89.6,79.9,27.2,7.25,87.06,5.69,90.8,89.2,85.6,44.8,5.29,90.23,4.48,90.8,88.9,83.1,46.8,5.67,87.82,6.51,84.3,81.5,75.5,44.5,6.53,81.09,12.39
2022-01-28T12:23:28.430Z,24.7,15.8,0,0,79.52,20.48,0,65.4,53.8,13.6,0,39.48,58.53,1.99,89.2,77.8,45,0,19.89,69.62,10.49,85.5,76.6,53.9,0.3,14.32,72.2,13.49,88.9,81.6,59,0.8,11.48,75.17,13.35,90.5,84.3,66.3,1.3,9.64,80,10.36,91,86.1,72.5,2.2,7.94,83.5,8.56,92.7,89.6,79.9,27.3,7.25,87.08,5.68,90.8,89.2,85.6,44.9,5.29,90.24,4.47,90.8,88.9,83.1,46.9,5.67,87.83,6.5,84.3,81.5,75.5,44.6,6.52,81.1,12.38
