,Totals,,,,,,,,,,Males,,,,,,,,,,Females,,,,,,,,,
Update Time,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-09-26T19:01:59.350Z,0,0,2,7,13,30,67,47,25,6,0,0,1,3,8,22,55,31,17,6,0,0,1,4,5,8,12,16,8,0
2020-09-27T06:27:46.860Z,0,0,2,3,11,27,65,53,26,5,0,0,1,2,9,20,53,36,20,4,0,0,1,1,2,7,12,17,6,1
2020-09-27T13:38:11.377Z,0,0,2,6,12,27,71,50,25,5,0,0,1,3,9,20,58,32,19,4,0,0,1,3,3,7,13,18,6,1
2020-09-28T16:25:25.447Z,1,1,2,5,12,30,72,51,26,4,0,1,1,3,9,23,60,35,20,4,1,0,1,2,3,7,12,16,6,0
2020-09-28T19:29:29.173Z,1,1,2,6,13,30,71,51,26,4,0,1,1,3,9,23,59,34,21,4,1,0,1,3,4,7,12,17,5,0
2020-09-29T07:31:38.433Z,1,1,1,4,14,31,68,51,21,4,0,1,1,3,10,24,55,35,17,4,1,0,0,1,4,7,13,16,4,0
2020-09-29T15:20:10.623Z,1,1,1,4,14,29,67,51,26,5,0,1,1,3,11,22,55,32,19,5,1,0,0,1,3,7,12,19,7,0
2020-09-29T20:03:10.423Z,1,1,3,5,15,29,64,53,25,5,0,1,2,3,11,21,51,34,18,5,1,0,1,2,4,8,13,19,7,0
2020-09-30T03:41:07.500Z,1,1,3,5,13,29,65,52,25,5,0,1,2,3,10,22,52,33,18,5,1,0,1,2,3,7,13,19,7,0
2020-09-30T06:58:43.690Z,1,1,3,4,15,30,66,53,24,4,0,1,2,3,13,22,53,36,18,4,1,0,1,1,2,8,13,17,6,0
2020-09-30T15:56:55.587Z,0,1,4,6,14,32,66,51,29,4,0,1,2,4,12,25,50,34,22,4,0,0,2,2,2,7,16,17,7,0
2020-09-30T19:17:47.527Z,0,1,4,5,16,32,65,53,28,3,0,1,2,3,13,25,48,35,21,3,0,0,2,2,3,7,17,18,7,0
2020-10-01T04:23:29.923Z,0,1,3,6,14,31,64,53,26,4,0,1,2,4,12,24,47,35,20,3,0,0,1,2,2,7,17,18,6,1
2020-10-01T16:23:41.577Z,0,0,2,3,11,25,60,52,27,4,0,0,2,1,7,20,46,34,20,3,0,0,0,2,4,5,14,18,7,1
